Ticket created - Month,Ticket ID,Tickets,service_tags_json,product_tags_json,company_name,segment,industry_bucket,country_of_residence
August,229403,1.00000000000000000000,"{""user"":""cs_outbound"",""sentiment_service"":""neutral"",""segment"":""unknown"",""industry"":""unknown"",""service_positive"":[],""service_negative"":[],""interaction"":[""proactive_outreach""],""tone"":[""formal""],""conversation_dynamics"":[""follow_up""],""reasoning"":""Agent proactively requested institution name, location and website so the qualification check can proceed."",""conversation_summary"":""Support reached out to request the exact institution name, its location and website so they can continue the candidate’s qualification check.""}","{""primary_checks"":[""qualification_check""],""check_sub_items"":[""education_additional_info_required""],""platform"":[],""reasoning"":""The message explicitly requests additional institution details to progress a qualification (education) check.""}",Ark,,,
August,229440,1.00000000000000000000,"{""user"":""cs_outbound"",""sentiment_service"":""neutral"",""segment"":""unknown"",""industry"":""health_medical_and_care"",""service_positive"":[],""service_negative"":[],""interaction"":[""proactive_outreach""],""tone"":[""formal""],""conversation_dynamics"":[""follow_up""],""reasoning"":""Support initiated outreach requesting the candidate's registration number to progress a qualification check."",""conversation_summary"":""Zinc Support (on behalf of Practice Plus Group) contacted Jose to request his registration number so the qualification check can proceed. The message is a proactive request for additional information.""}","{""primary_checks"":[""qualification_check""],""check_sub_items"":[""education_additional_info_required""],""platform"":[],""reasoning"":""Agent explicitly asks for a registration number to proceed with the qualification check, so qualification_check with additional education info required applies.""}",Practice Plus Group,,,
August,229515,1.00000000000000000000,"{""user"":""cs_outbound"",""sentiment_service"":""neutral"",""segment"":""unknown"",""industry"":""health_medical_and_care"",""service_positive"":[],""service_negative"":[],""interaction"":[""proactive_outreach"",""empathy_displayed""],""tone"":[""formal""],""conversation_dynamics"":[""follow_up""],""reasoning"":""Support contacted the candidate to request a dated wet-signed consent form to progress the qualification check and provided instructions for return."",""conversation_summary"":""Agent (Zinc Work support) emailed Michele requesting a wet-signed PDF consent form dated within the last 3 months (DD/MM/YYYY) to continue the qualification check. Instructions for signing without a printer and to reply with the attachment were provided; agent offered further assistance.""}","{""primary_checks"":[""qualification_check""],""check_sub_items"":[""education_additional_info_required""],""platform"":[],""reasoning"":""Agent is requesting a signed consent form to progress the qualification (education) check; no platform/login or error issues mentioned.""}",United Response,,,
August,229531,1.00000000000000000000,"{""user"":""cs_outbound"",""sentiment_service"":""neutral"",""segment"":""unknown"",""industry"":""unknown"",""service_positive"":[],""service_negative"":[],""interaction"":[""proactive_outreach""],""tone"":[""formal""],""conversation_dynamics"":[""follow_up""],""reasoning"":""Support sent reminder emails requesting a hand-signed consent form and diploma so the qualification check can proceed; no candidate reply shown."",""conversation_summary"":""Support sent two polite follow-up emails (Aug 1 and Aug 27) to Janeiro on behalf of Octopus Energy requesting a hand-signed consent form and a copy of the diploma to continue the qualification check. Messages warn the job will be closed if info is not provided and offer assistance; no candidate response in thread.""}","{""primary_checks"":[""qualification_check""],""check_sub_items"":[""education_additional_info_required""],""platform"":[],""reasoning"":""Conversation specifically requests a hand-signed consent and diploma to continue the qualification check, so qualification_check + education_additional_info_required apply.""}",Octopus Energy Background Checks,,,
August,229557,1.00000000000000000000,"{""user"":""cs_outbound"",""sentiment_service"":""neutral"",""segment"":""unknown"",""industry"":""finance"",""service_positive"":[],""service_negative"":[],""interaction"":[""proactive_outreach""],""tone"":[""formal""],""conversation_dynamics"":[""follow_up""],""reasoning"":""Agent proactively requested a wet-signed qualification form and confirmation of diploma type to continue the candidate's qualification check."",""conversation_summary"":""Zinc support emailed the candidate on behalf of Funding Circle to continue a qualification check, asking them to print, wet-sign and return the attached form and to reconfirm the exact diploma type. The agent invited questions and provided return instructions.""}","{""primary_checks"":[""qualification_check""],""check_sub_items"":[""education_additional_info_required""],""platform"":[],""reasoning"":""Conversation is a proactive request for a signed education form and diploma confirmation to progress a qualification check.""}",Funding Circle Ltd,,,
August,229559,1.00000000000000000000,"{""user"":""customer_inbound"",""sentiment_service"":""neutral"",""segment"":""unknown"",""industry"":""unknown"",""service_positive"":[],""service_negative"":[],""interaction"":[""proactive_outreach""],""tone"":[""formal""],""conversation_dynamics"":[""follow_up""],""reasoning"":""Third-party delivery team notified that the supplied certificate is unacceptable and requested a newer certificate as part of the transaction."",""conversation_summary"":""Delivery Support emailed about transaction 14083588 saying the provided certificate cannot be accepted and asked for a certificate issued on or after 30 July 2025. A new file (FRcertificiate.pdf) was noted on the transaction.""}","{""primary_checks"":[""criminal_check""],""check_sub_items"":[""criminal_certificate_upload"",""criminal_non_uk_submission_issue""],""platform"":[],""reasoning"":""The message states a supplied certificate was rejected and requests a newer certificate; file name and provider imply a non-UK criminal certificate upload/validation issue.""}",,,food___beverages,
August,229650,1.00000000000000000000,"{""user"":""customer_inbound"",""sentiment_service"":""neutral"",""segment"":""unknown"",""industry"":""unknown"",""service_positive"":[],""service_negative"":[],""interaction"":[""reactive_support"",""clear_resolution""],""tone"":[""formal""],""conversation_dynamics"":[""follow_up""],""reasoning"":""Referee requested candidate consent for a reference; support provided and re-sent the consent form."",""conversation_summary"":""DocuSign HR asked for candidate consent before Zinc could continue with a reference. Zinc Support attached the requested consent form, noted it had been attached previously (28/07/2025), and resent it to the team.""}","{""primary_checks"":[""reference_check""],""check_sub_items"":[""reference_consent_required""],""platform"":[],""reasoning"":""Referee explicitly requested candidate consent to proceed with a reference check; support supplied and resent the consent form, so reference_check + reference_consent_required apply.""}",,,tech___it,
August,229665,1.00000000000000000000,"{""user"":""customer_inbound"",""sentiment_service"":""neutral"",""segment"":""unknown"",""industry"":""health_medical_and_care"",""service_positive"":[],""service_negative"":[],""interaction"":[],""tone"":[""formal""],""conversation_dynamics"":[""follow_up""],""reasoning"":""Customer (CareTech) requested confirmation of whether the candidate worked with children or adults and the work location; the respondent provided details and asked for the reference to be returned by"",""conversation_summary"":""Zinc sent a reference request. CareTech asked whether the candidate worked with children or adults and the location. The respondent (Sophie) confirmed it was with adults at Uplands Independent Hospital, 61 Park Lane, Fareham, and requested the completed reference be returned to this email.""}","{""primary_checks"":[""reference_check""],""check_sub_items"":[],""platform"":[],""reasoning"":""This conversation is specifically about a reference request; the referee supplied work-type and location and asked for the reference to be returned via email. No other verification checks or submissio""}",,,,
August,229868,1.00000000000000000000,"{""user"":""customer_inbound"",""sentiment_service"":""neutral"",""segment"":""unknown"",""industry"":""health_medical_and_care"",""service_positive"":[],""service_negative"":[],""interaction"":[""reactive_support"",""clear_resolution""],""tone"":[""formal""],""conversation_dynamics"":[""follow_up""],""reasoning"":""Client requested a signed consent for a reference; support provided the requested consent."",""conversation_summary"":""HR (Parexel) requested the employee's signed consent for information disclosure after noting it was missing from prior correspondence. The original reference email showed a digital signature; support later followed up and attached the requested consent form.""}","{""primary_checks"":[""reference_check""],""check_sub_items"":[""reference_consent_required""],""platform"":[],""reasoning"":""Conversation focuses on a reference verification and the need for signed consent; support attached the consent form.""}",,,,
August,230367,1.00000000000000000000,"{""user"":""anonymous_inbound"",""sentiment_service"":""neutral"",""segment"":""unknown"",""industry"":""health_medical_and_care"",""service_positive"":[],""service_negative"":[],""interaction"":[""unclear_resolution"",""proactive_outreach"",""reactive_support""],""tone"":[""formal""],""conversation_dynamics"":[""follow_up""],""reasoning"":""Referee emailed an employment reference; agent requested a safeguarding confirmation to complete a regulated reference check."",""conversation_summary"":""Referee (Dr Ogbu) emailed confirmation of employment dates and support for the candidate. Zinc support acknowledged receipt and asked a follow-up question requesting confirmation of any safeguarding concerns or statutory reports for this regulated role. Awaiting referee’s response.""}","{""primary_checks"":[""reference_check""],""check_sub_items"":[""reference_email_body_reference"",""reference_additional_information_required""],""platform"":[],""reasoning"":""Referee provided the reference in the email body; agent asked for additional safeguarding information required to complete the reference check.""}",,,,
August,230501,1.00000000000000000000,"{""user"":""candidate_inbound"",""sentiment_service"":""neutral"",""segment"":""unknown"",""industry"":""unknown"",""service_positive"":[],""service_negative"":[],""interaction"":[""reactive_support"",""apology_given"",""unclear_resolution""],""tone"":[""empathetic""],""conversation_dynamics"":[""follow_up""],""reasoning"":""User asked where to view a health declaration; AI gave guidance, user requested human help, agent later asked for clarification — no resolution yet."",""conversation_summary"":""User asked where to view their health declaration. Zinc AI suggested checking Notification or Profile tabs. User requested to speak to someone; an automatic out-of-office reply was sent. An agent later apologized for being unavailable and asked the user to confirm what they mean by 'Health Declaration'.""}","{""primary_checks"":[],""check_sub_items"":[],""platform"":[""auto_response""],""reasoning"":""This was an informational query about where to view a health declaration, not a verification check. The system auto-response (out-of-office) was present, so auto_response is tagged.""}",Agincare,,,
August,230833,1.00000000000000000000,"{""user"":""customer_inbound"",""sentiment_service"":""neutral"",""segment"":""unknown"",""industry"":""unknown"",""service_positive"":[],""service_negative"":[],""interaction"":[""reactive_support"",""unclear_resolution""],""tone"":[""empathetic""],""conversation_dynamics"":[""follow_up""],""reasoning"":""Recruiter reported candidate's UK bank statement keeps being rejected for proof of address; agent acknowledged, located candidate's email and will assist directly."",""conversation_summary"":""Recruiter Leah reported Isobel’s UK bank statement (within 3 months, Santander) was repeatedly rejected when uploading proof of address for a DBS. Agent Chiara apologised for the delay, located Isobel’s email thread and took ownership to resolve directly. Leah followed up to check progress; issue not yet confirmed resolved.""}","{""primary_checks"":[""address_check""],""check_sub_items"":[""address_submission_issue""],""platform"":[],""reasoning"":""The conversation focuses on a proof-of-address upload rejection for DBS processing, so address_check with an address_submission_issue is appropriate.""}",Bright Horizons,,,
August,230996,1.00000000000000000000,"{""user"":""customer_inbound"",""sentiment_service"":""neutral"",""segment"":""unknown"",""industry"":""unknown"",""service_positive"":[],""service_negative"":[],""interaction"":[""reactive_support"",""clear_resolution""],""tone"":[""formal""],""conversation_dynamics"":[""follow_up""],""reasoning"":""HR cannot access the Zinc platform link and requested the reference as a PDF; support provided alternative submission instructions."",""conversation_summary"":""HR (referee) said company policy blocks external links and asked Zinc to provide the reference as a PDF. Zinc support replied with instructions to reply to the email or provide a standard PDF reference and explained visibility options.""}","{""primary_checks"":[""reference_check""],""check_sub_items"":[""reference_pdf_or_docx_reference_attached""],""platform"":[],""reasoning"":""Conversation is about a reference request where the referee cannot use the online link and is asked to supply the reference as a PDF attachment.""}",,,logistics_and_supply_chain,
August,231028,1.00000000000000000000,"{""user"":""cs_outbound"",""sentiment_service"":""neutral"",""segment"":""unknown"",""industry"":""unknown"",""service_positive"":[],""service_negative"":[],""interaction"":[""proactive_outreach""],""tone"":[""formal""],""conversation_dynamics"":[],""reasoning"":""Third-party delivery support proactively asked whether to reopen an unspecified verification check after receiving verification."",""conversation_summary"":""Delivery Support emailed asking the team if they should reopen the referenced check and update the results because they have now received verification; awaiting instruction.""}","{""primary_checks"":[],""check_sub_items"":[],""platform"":[],""reasoning"":""No specific verification check is named in the message, so no primary or sub-item tags can be applied.""}",,,food___beverages,
August,231198,1.00000000000000000000,"{""user"":""customer_inbound"",""sentiment_service"":""neutral"",""segment"":""unknown"",""industry"":""health_medical_and_care"",""service_positive"":[],""service_negative"":[],""interaction"":[""reactive_support"",""clear_resolution""],""tone"":[""empathetic""],""conversation_dynamics"":[""follow_up""],""reasoning"":""Recruiter reported reference email bounce-backs and asked for amended emails; agent replied, apologised, and followed up with outcomes."",""conversation_summary"":""Recruiter Joanne asked to speak to an agent about reference email bounce-backs and provided amended addresses/attachment. Agent apologised for delays, said updates would be done that day. Follow-up confirmed Field View email was amended; St Margaret's cannot be used due to a personal (not company) email.""}","{""primary_checks"":[""reference_check""],""check_sub_items"":[""request_not_received"",""reference_ask_to_chase_referee""],""platform"":[""email_bounce_general""],""reasoning"":""This conversation is about reference verification: referees not receiving requests (bounce-backs), requester asked support to update/chase referee emails; agent later noted one referee invalid due to""}",Brandon Trust,creme,medical___care,
August,231226,1.00000000000000000000,"{""user"":""cs_outbound"",""sentiment_service"":""neutral"",""segment"":""unknown"",""industry"":""unknown"",""service_positive"":[],""service_negative"":[],""interaction"":[""proactive_outreach""],""tone"":[""formal""],""conversation_dynamics"":[""follow_up""],""reasoning"":""Support proactively requested clarification from the candidate so the academic qualification check can continue."",""conversation_summary"":""Support (on behalf of RedCloud Technology) emailed Mercedes asking her to state the correct diploma type so the academic qualification check can proceed.""}","{""primary_checks"":[""qualification_check""],""check_sub_items"":[""education_additional_info_required""],""platform"":[],""reasoning"":""The message is a request for additional information to proceed with an academic/qualification check (candidate asked to confirm diploma type).""}",RedCloud Technology,,,
August,231228,1.00000000000000000000,"{""user"":""cs_outbound"",""sentiment_service"":""neutral"",""segment"":""unknown"",""industry"":""unknown"",""service_positive"":[],""service_negative"":[],""interaction"":[""proactive_outreach"",""clear_resolution""],""tone"":[""formal""],""conversation_dynamics"":[],""reasoning"":""Agent proactively notified the recruiter that the candidate declined the offer and checks were cancelled on their side."",""conversation_summary"":""Agent emailed the team to inform them that candidate Ebony Knight declined the job offer and no longer requires checks; the agent cancelled the checks and offered to answer further questions.""}","{""primary_checks"":[],""check_sub_items"":[],""platform"":[""process_withdrawal""],""reasoning"":""Candidate declined the role and checks were cancelled; no specific verification check (address/ID/criminal/reference) was referenced, so no primary check tags apply.""}",Bright Horizons,,,
August,231248,1.00000000000000000000,"{""user"":""customer_inbound"",""sentiment_service"":""neutral"",""segment"":""unknown"",""industry"":""health_medical_and_care"",""service_positive"":[],""service_negative"":[],""interaction"":[""reactive_support"",""clear_resolution""],""tone"":[""formal""],""conversation_dynamics"":[""follow_up""],""reasoning"":""HR requested the candidate's NI to locate a reference; an agent/respondent provided the NI, resolving the lookup."",""conversation_summary"":""HR/Payroll asked Zinc for Sonya Dawn Southall-Terry's National Insurance number to find her on their system. Zinc's reference request email was included for context. A respondent later supplied the NI (NP584644B), resolving the request.""}","{""primary_checks"":[""reference_check""],""check_sub_items"":[],""platform"":[],""reasoning"":""The exchange is about a reference request and locating the candidate via NI number; no other verification checks or platform errors are discussed.""}",,,,
August,231360,1.00000000000000000000,"{""user"":""cs_outbound"",""sentiment_service"":""neutral"",""segment"":""unknown"",""industry"":""unknown"",""service_positive"":[],""service_negative"":[],""interaction"":[""proactive_outreach"",""empathy_displayed""],""tone"":[""formal""],""conversation_dynamics"":[""follow_up""],""reasoning"":""Support proactively requested the institution name and postal address to continue a qualification verification."",""conversation_summary"":""Zinc Support (outbound) contacted the candidate to request the full institution name and postal address needed to proceed with their qualification check, offering further help if needed.""}","{""primary_checks"":[""qualification_check""],""check_sub_items"":[""education_additional_info_required""],""platform"":[],""reasoning"":""Agent explicitly requests institution name and full postal address to progress the qualification (education) check.""}",MANUAL,protect,medical___care,
August,231401,1.00000000000000000000,"{""user"":""candidate_inbound"",""sentiment_service"":""neutral"",""segment"":""unknown"",""industry"":""unknown"",""service_positive"":[],""service_negative"":[],""interaction"":[""proactive_outreach"",""reactive_support"",""clear_resolution""],""tone"":[""formal""],""conversation_dynamics"":[""follow_up""],""reasoning"":""Agent requested a hand-signed HEDD consent form for the qualification check, clarified the form when the candidate asked, and reattached it."",""conversation_summary"":""Zinc emailed requesting a hand-signed HEDD consent form to progress the qualification check. The candidate asked which document to send. The agent confirmed it was the HEDD consent form, explained the signature requirement (hand-signed or mouse-pad), and reattached the form.""}","{""primary_checks"":[""qualification_check""],""check_sub_items"":[""education_additional_info_required""],""platform"":[],""reasoning"":""Conversation concerns the qualification check: the candidate was asked to provide a hand-signed HEDD consent form to continue degree verification.""}",Octopus Energy Background Checks,,,
August,231438,1.00000000000000000000,"{""user"":""cs_outbound"",""sentiment_service"":""neutral"",""segment"":""unknown"",""industry"":""education__e-learning"",""service_positive"":[],""service_negative"":[],""interaction"":[""proactive_outreach""],""tone"":[""formal""],""conversation_dynamics"":[],""reasoning"":""Support proactively requested signed consent forms and identity documents to progress a qualification check."",""conversation_summary"":""Support emailed the candidate asking for a specific hand-signed consent form, a Pearson RC consent form (hand-signed), and a passport/ID/birth certificate to proceed with the qualification check, and provided a secure upload link.""}","{""primary_checks"":[""qualification_check""],""check_sub_items"":[""education_additional_info_required""],""platform"":[],""reasoning"":""The message is explicitly requesting additional consent forms and ID for a qualification check; candidate action required to upload documents via provided link.""}",Ark,,,
August,231548,1.00000000000000000000,"{""user"":""cs_outbound"",""sentiment_service"":""neutral"",""segment"":""unknown"",""industry"":""unknown"",""service_positive"":[],""service_negative"":[],""interaction"":[""proactive_outreach""],""tone"":[""formal""],""conversation_dynamics"":[""follow_up""],""reasoning"":""Support proactively requested a hand-signed consent form to progress the qualification check and sent multiple reminders."",""conversation_summary"":""Zinc support asked the candidate to provide a dated, hand-signed consent form to continue the qualification/education check. Several reminder emails were sent over weeks; there is no recorded candidate response in the thread.""}","{""primary_checks"":[""qualification_check""],""check_sub_items"":[""education_additional_info_required""],""platform"":[],""reasoning"":""Thread requests a signed consent form to continue the qualification/education check; reminders indicate additional info required.""}",Octopus Energy Background Checks,,,
August,231656,1.00000000000000000000,"{""user"":""cs_outbound"",""sentiment_service"":""neutral"",""segment"":""unknown"",""industry"":""finance"",""service_positive"":[],""service_negative"":[],""interaction"":[""proactive_outreach""],""tone"":[""formal""],""conversation_dynamics"":[""follow_up""],""reasoning"":""Support reached out to the candidate on behalf of ClearBank to request qualification documents (BPP number and certificate)."",""conversation_summary"":""Zinc Support emailed Paul (on behalf of ClearBank) asking for his BPP number and a copy of his qualification certificate so the qualification check can proceed. A follow-up message restated the request; no candidate reply in this thread.""}","{""primary_checks"":[""qualification_check""],""check_sub_items"":[""education_additional_info_required""],""platform"":[],""reasoning"":""Messages explicitly request BPP number and certificate for a qualification check, so education additional information is required.""}",ClearBank,,,
August,231659,1.00000000000000000000,"{""user"":""cs_outbound"",""sentiment_service"":""neutral"",""segment"":""unknown"",""industry"":""unknown"",""service_positive"":[],""service_negative"":[],""interaction"":[""proactive_outreach"",""empathy_displayed""],""tone"":[""formal""],""conversation_dynamics"":[""follow_up""],""reasoning"":""Support proactively requested a signed consent form so the qualification check can proceed."",""conversation_summary"":""Zinc Support (on behalf of Grayce) emailed the candidate requesting a hand-signed consent form to continue the qualification check, attached the form, and offered assistance; awaiting candidate response.""}","{""primary_checks"":[""qualification_check""],""check_sub_items"":[""education_additional_info_required""],""platform"":[],""reasoning"":""The message explicitly requests a signed consent form to continue the qualification (education) check, so qualification_check + education_additional_info_required apply.""}",Grayce,,,
August,231690,1.00000000000000000000,"{""user"":""cs_outbound"",""sentiment_service"":""neutral"",""segment"":""unknown"",""industry"":""unknown"",""service_positive"":[],""service_negative"":[],""interaction"":[""proactive_outreach""],""tone"":[""formal""],""conversation_dynamics"":[],""reasoning"":""Support proactively requested a hand-signed consent form from the candidate to continue the qualification check."",""conversation_summary"":""Zinc Support emailed the candidate on behalf of Acacium Group asking them to return a hand-signed consent form to proceed with the qualification check and offered assistance if needed.""}","{""primary_checks"":[""qualification_check""],""check_sub_items"":[""education_additional_info_required""],""platform"":[],""reasoning"":""Agent requested a hand-signed consent form to continue the qualification_check; education_additional_info_required applies for the consent form request.""}",Acacium Group,,,
August,231793,1.00000000000000000000,"{""user"":""cs_outbound"",""sentiment_service"":""neutral"",""segment"":""unknown"",""industry"":""unknown"",""service_positive"":[],""service_negative"":[],""interaction"":[""proactive_outreach"",""empathy_displayed""],""tone"":[""formal""],""conversation_dynamics"":[""follow_up""],""reasoning"":""Support proactively contacted the candidate to request completion of Right to Work checks and offered assistance."",""conversation_summary"":""Zinc Support emailed Rianna to say she hasn’t started her Right to Work checks, provided a submission link, and offered help if needed.""}","{""primary_checks"":[""rtw_check""],""check_sub_items"":[],""platform"":[],""reasoning"":""Agent’s message specifically references the candidate not starting Right to Work checks and provides a submission link.""}",Busy Bees Nurseries,,,
August,231865,1.00000000000000000000,"{""user"":""cs_outbound"",""sentiment_service"":""neutral"",""segment"":""unknown"",""industry"":""finance"",""service_positive"":[],""service_negative"":[],""interaction"":[""proactive_outreach""],""tone"":[""formal""],""conversation_dynamics"":[],""reasoning"":""Support proactively contacted the candidate because verifiers couldn’t reach the education source; requesting alternative contact details to continue the qualification check."",""conversation_summary"":""Zinc Support (on behalf of Revolut) informed the candidate that checking partners cannot contact the qualification source at the provided emails/phone. They asked the candidate to supply other contact details or confirm whether the source still exists or operates under the same name.""}","{""primary_checks"":[""qualification_check""],""check_sub_items"":[""education_additional_info_required""],""platform"":[],""reasoning"":""Verifier cannot reach the education source; conversation requests additional contact details to proceed with the qualification check.""}",Revolut,,,
